,student_id,is_authentic,is_high
0,0,True,False
1,1,True,False
2,10,True,False
3,11,True,False
4,12,True,False
5,13,True,False
6,14,True,True
7,15,True,True
8,16,True,False
9,17,True,False
10,18,True,False
11,19,True,False
12,2,True,False
13,20,True,False
14,21,True,False
15,22,True,False
16,23,True,False
17,24,True,False
18,25,True,False
19,26,True,False
20,27,True,False
21,28,True,False
22,29,True,False
23,3,True,False
24,30,True,False
25,31,True,False
26,32,True,False
27,33,True,False
28,34,True,False
29,35,True,False
30,36,True,False
31,37,True,False
32,38,True,False
33,39,True,False
34,4,True,False
35,40,True,False
36,41,True,False
37,42,True,False
38,43,True,False
39,44,True,False
40,45,True,False
41,46,True,False
42,47,True,False
43,48,True,False
44,49,True,False
45,5,True,False
46,50,True,False
47,51,True,False
48,52,True,False
49,53,True,False
50,54,True,False
51,55,True,False
52,56,True,False
53,57,True,False
54,58,True,False
55,59,True,False
56,6,True,False
57,60,True,False
58,61,True,False
59,62,True,False
60,63,True,False
61,64,True,False
62,65,True,False
63,66,True,False
64,67,True,False
65,68,True,False
66,69,True,False
67,7,True,True
68,70,True,False
69,71,True,False
70,72,True,False
71,73,True,False
72,74,True,False
73,75,True,False
74,76,True,False
75,77,True,False
76,78,True,False
77,79,True,False
78,8,True,False
79,80,True,False
80,81,True,False
81,82,True,False
82,83,True,False
83,84,True,True
84,85,True,False
85,86,True,False
86,87,True,False
87,88,True,False
88,89,True,False
89,9,True,False
90,90,True,False
91,91,True,False
92,92,True,False
93,93,True,False
94,94,True,False
95,95,True,False
96,96,True,False
97,97,True,False
98,98,True,False
99,99,True,False
